timestamp,j1_pos,j1_vel,j2_pos,j2_vel,j3_pos,j3_vel,j4_pos,j4_vel,j5_pos,j5_vel,j6_pos,j6_vel
0.00212804,-0.0234604,-0.00244236,0.0204086,0.00244236,-0.0181198,-0.00244236,-0.000190735,0.00732613,0.0291834,0.00732613,0.00667572,-0.0219784
0.00421651,-0.0234604,-0.00244236,0.0204086,0.00244236,-0.0181198,-0.00244236,-0.000190735,-0.00732803,0.0291834,0.00732613,0.00667572,-0.00732613
0.00613781,-0.0234604,-0.00244236,0.0204086,0.00732613,-0.0181198,-0.00732613,-0.000190735,0.00732613,0.0291834,0.00732613,0.00667572,-0.00732613
0.00790752,-0.0234604,-0.00732613,0.0207901,0.0170937,-0.0181198,-0.0122099,-0.000190735,0.00732613,0.0291834,-0.00732803,0.00667572,0.00732803
0.00978313,-0.0234604,-0.00732613,0.0207901,0.0366297,-0.0185013,-0.0317459,-0.000190735,-0.00732803,0.0291834,-0.00732803,0.00667572,0.00732803
0.0174463,-0.0234604,-0.00732613,0.022316,0.0952377,-0.0200272,-0.090354,-0.000190735,0.00732613,0.0291834,0.0219784,0.00667572,0.00732803
0.0188161,-0.0234604,-0.00732613,0.0226974,0.100122,-0.0204086,-0.090354,-0.000190735,0.00732613,0.0295649,0.0219784,0.00705719,-0.00732613
0.0207596,-0.0234604,-0.00244236,0.0230789,0.100122,-0.0204086,-0.090354,-0.000190735,0.00732613,0.0295649,0.0512829,0.00705719,0.0219803
0.0227047,-0.0234604,-0.00244236,0.0238419,0.105006,-0.0207901,-0.090354,-0.000190735,0.00732613,0.0299463,0.0659332,0.00705719,-0.00732613
0.0246529,-0.0234604,-0.00244236,0.0242233,0.114774,-0.0211716,-0.0854702,-0.000190735,0.00732613,0.0299463,0.0512829,0.00705719,-0.00732613
0.0265761,-0.0234604,-0.00244236,0.0246058,0.119658,-0.021553,-0.0757017,-0.000190735,-0.00732803,0.0303278,0.0659332,0.00705719,-0.00732613
0.0286237,-0.0234604,-0.00244236,0.0253687,0.124542,-0.021553,-0.0610504,-0.000190735,0.00732613,0.0303278,0.0512829,0.00705719,-0.00732613
0.0306235,-0.0234604,-0.00244236,0.0257502,0.129426,-0.021553,-0.0561657,-0.000190735,0.00732613,0.0303278,0.0366306,0.00705719,-0.00732613
0.03261,-0.0234604,-0.00244236,0.0265131,0.139194,-0.0219345,-0.0512819,-0.000190735,0.00732613,0.0303278,0.0219784,0.00705719,0.00732803
0.0348029,-0.0234604,-0.00244236,0.027276,0.148962,-0.0219345,-0.0415144,-0.000190735,0.00732613,0.0303278,0.00732613,0.00705719,-0.00732613
0.0370364,-0.0234604,-0.00244236,0.0276575,0.153846,-0.0219345,-0.0317459,-0.000190735,0.00732613,0.0303278,0.0219784,0.00705719,-0.00732613
0.0388287,-0.0234604,-0.00244236,0.0284204,0.158731,-0.0219345,-0.0219784,-0.000190735,-0.00732803,0.0303278,0.0219784,0.00705719,-0.00732613
0.0408781,-0.0234604,-0.00244236,0.0291834,0.163614,-0.0219345,-0.0170937,-0.000190735,0.00732613,0.0303278,0.0366306,0.00705719,0.00732803
0.0428362,-0.0234604,-0.00244236,0.0299463,0.168498,-0.0219345,-0.0122099,-0.000572205,0.00732613,0.0307093,0.0512829,0.00705719,-0.00732613
0.0447332,-0.0234604,-0.00244236,0.0303278,0.173382,-0.0219345,-0.00244236,-0.000190735,0.00732613,0.0307093,0.0366306,0.00705719,-0.0219784
0.046834,-0.0234604,-0.00244236,0.0310907,0.173382,-0.0219345,-0.00244236,-0.000190735,0.00732613,0.0307093,0.0366306,0.00705719,-0.0219784
